int_rate,total_loans,defaulted_loans,default_rate
23.83,327,125,38.23
23.87,831,41,4.93
23.88,3449,536,15.54
23.91,14,3,21.43
23.99,5967,1917,32.13
24.08,1784,636,35.65
24.11,809,316,39.06
24.2,35,17,48.57
24.24,170,71,41.76
24.33,21,8,38.1
24.37,1779,11,0.62
24.4,1,1,100.0
24.49,1410,427,30.28
24.5,2462,915,37.16
24.52,6,2,33.33
24.59,1,0,0.0
24.7,206,95,46.12
24.74,1774,446,25.14
24.76,6,2,33.33
24.83,112,40,35.71
24.84,1372,90,6.56
24.85,3227,499,15.46
24.89,352,122,34.66
24.99,4675,1853,39.64
25.09,150,76,50.67
25.11,220,101,45.91
25.28,171,66,38.6
25.29,1023,348,34.02
25.34,1920,19,0.99
25.44,192,82,42.71
25.49,2069,539,26.05
25.57,1216,487,40.05
25.65,149,53,35.57
25.69,863,313,36.27
25.78,482,230,47.72
25.8,1023,419,40.96
25.81,1204,70,5.81
25.82,2556,414,16.2
25.83,796,324,40.7
25.88,513,225,43.86
25.89,599,253,42.24
25.99,551,258,46.82
26.06,465,221,47.53
26.14,134,57,42.54
26.24,1749,472,26.99
26.3,4064,792,19.49
26.31,1636,13,0.79
26.49,670,250,37.31
26.57,476,218,45.8
26.77,2173,336,15.46
26.99,623,266,42.7
27.27,2499,21,0.84
27.31,350,160,45.71
27.34,377,155,41.11
27.49,497,202,40.64
27.79,360,155,43.06
27.88,222,119,53.6
27.99,44,20,45.45
28.14,224,93,41.52
28.18,311,131,42.12
28.34,195,93,47.69
28.49,165,86,52.12
28.67,140,80,57.14
28.69,1416,422,29.8
28.72,2248,246,10.94
28.88,247,110,44.53
28.99,284,151,53.17
29.49,785,264,33.63
29.67,178,73,41.01
29.69,1214,178,14.66
29.96,149,75,50.34
29.99,641,202,31.51
30.17,1236,200,16.18
30.49,512,191,37.3
30.65,983,169,17.19
30.74,456,167,36.62
30.75,1075,199,18.51
30.79,1572,345,21.95
30.84,755,233,30.86
30.89,699,212,30.33
30.94,733,215,29.33
30.99,819,254,31.01
