loan_amnt,total_loans,defaulted_loans,default_rate
34900,44,6,13.64
34925,49,3,6.12
34950,68,12,17.65
34975,65,11,16.92
35000,86285,12205,14.14
35025,7,1,14.29
35050,17,0,0.0
35075,12,1,8.33
35100,15,1,6.67
35125,12,0,0.0
35150,15,0,0.0
35175,10,1,10.0
35200,102,2,1.96
35225,15,0,0.0
35250,17,0,0.0
35275,11,1,9.09
35300,20,0,0.0
35325,10,0,0.0
35350,11,1,9.09
35375,17,0,0.0
35400,24,0,0.0
35425,16,0,0.0
35450,9,0,0.0
35475,10,2,20.0
35500,83,2,2.41
35525,20,3,15.0
35550,13,0,0.0
35575,10,0,0.0
35600,14,0,0.0
35625,13,0,0.0
35650,14,0,0.0
35675,5,0,0.0
35700,28,2,7.14
35725,13,1,7.69
35750,16,2,12.5
35775,13,1,7.69
35800,14,0,0.0
35825,21,0,0.0
35850,10,0,0.0
35875,12,2,16.67
35900,14,0,0.0
35925,9,0,0.0
35950,21,0,0.0
35975,9,0,0.0
36000,5904,241,4.08
36025,7,0,0.0
36050,12,0,0.0
36075,6,0,0.0
36100,11,1,9.09
36125,20,0,0.0
36150,11,1,9.09
36175,14,3,21.43
36200,18,0,0.0
36225,20,1,5.0
36250,19,0,0.0
36275,6,0,0.0
36300,21,0,0.0
36325,16,1,6.25
36350,10,1,10.0
36375,11,0,0.0
36400,95,6,6.32
36425,14,1,7.14
36450,14,0,0.0
36475,15,1,6.67
36500,77,6,7.79
36525,16,0,0.0
36550,14,0,0.0
36575,16,0,0.0
36600,31,0,0.0
36625,14,0,0.0
36650,19,2,10.53
36675,18,1,5.56
36700,15,1,6.67
36725,12,0,0.0
36750,22,0,0.0
36775,7,0,0.0
36800,54,3,5.56
36825,16,0,0.0
36850,20,1,5.0
36875,21,2,9.52
36900,11,2,18.18
36925,6,0,0.0
36950,14,2,14.29
36975,19,0,0.0
37000,592,14,2.36
37025,10,0,0.0
37050,4,0,0.0
37075,9,0,0.0
37100,21,0,0.0
37125,11,1,9.09
37150,11,0,0.0
37175,11,1,9.09
37200,86,2,2.33
37225,12,1,8.33
37250,24,1,4.17
37275,13,0,0.0
37300,15,0,0.0
37325,7,0,0.0
37350,10,1,10.0
37375,5,0,0.0
37400,20,0,0.0
