dti,total_loans,defaulted_loans,default_rate
34.63,236,40,16.95
34.64,292,54,18.49
34.65,235,38,16.17
34.66,249,52,20.88
34.67,266,44,16.54
34.68,258,40,15.5
34.69,256,43,16.8
34.7,235,40,17.02
34.71,269,38,14.13
34.72,262,46,17.56
34.73,275,48,17.45
34.74,257,36,14.01
34.75,237,39,16.46
34.76,265,51,19.25
34.77,276,54,19.57
34.78,222,36,16.22
34.79,165,26,15.76
34.8,402,66,16.42
34.81,246,48,19.51
34.82,197,34,17.26
34.83,252,41,16.27
34.84,278,42,15.11
34.85,295,43,14.58
34.86,264,52,19.7
34.87,204,29,14.22
34.88,294,43,14.63
34.89,263,43,16.35
34.9,279,46,16.49
34.91,253,41,16.21
34.92,238,49,20.59
34.93,303,47,15.51
34.94,173,38,21.97
34.95,271,62,22.88
34.96,275,41,14.91
34.97,229,36,15.72
34.98,262,42,16.03
34.99,219,39,17.81
35.0,203,28,13.79
35.01,131,13,9.92
35.02,133,26,19.55
35.03,151,18,11.92
35.04,141,24,17.02
35.05,153,24,15.69
35.06,124,19,15.32
35.07,142,19,13.38
35.08,120,21,17.5
35.09,166,21,12.65
35.1,135,22,16.3
35.11,130,14,10.77
35.12,156,10,6.41
35.13,128,19,14.84
35.14,124,25,20.16
35.15,155,25,16.13
35.16,137,16,11.68
35.17,145,18,12.41
35.18,129,20,15.5
35.19,146,22,15.07
35.2,160,19,11.88
35.21,120,15,12.5
35.22,138,17,12.32
35.23,147,22,14.97
35.24,151,21,13.91
35.25,141,21,14.89
35.26,137,16,11.68
35.27,104,11,10.58
35.28,163,23,14.11
35.29,128,15,11.72
35.3,146,24,16.44
35.31,160,17,10.63
35.32,141,23,16.31
35.33,148,28,18.92
35.34,128,14,10.94
35.35,123,21,17.07
35.36,165,24,14.55
35.37,119,25,21.01
35.38,144,19,13.19
35.39,111,11,9.91
35.4,162,23,14.2
35.41,146,17,11.64
35.42,121,15,12.4
35.43,155,28,18.06
35.44,130,15,11.54
35.45,116,15,12.93
35.46,157,28,17.83
35.47,155,15,9.68
35.48,127,18,14.17
35.49,118,19,16.1
35.5,136,13,9.56
35.51,118,25,21.19
35.52,178,23,12.92
35.53,138,27,19.57
35.54,116,14,12.07
35.55,123,24,19.51
35.56,153,14,9.15
35.57,140,21,15.0
35.58,135,16,11.85
35.59,102,11,10.78
35.6,208,38,18.27
35.61,103,15,14.56
35.62,138,22,15.94
35.63,128,17,13.28
35.64,145,20,13.79
35.65,143,20,13.99
35.66,118,14,11.86
35.67,131,17,12.98
35.68,151,21,13.91
35.69,125,22,17.6
35.7,140,25,17.86
35.71,126,21,16.67
35.72,132,16,12.12
35.73,167,20,11.98
35.74,114,21,18.42
35.75,112,21,18.75
35.76,149,27,18.12
35.77,136,21,15.44
35.78,122,18,14.75
35.79,142,22,15.49
35.8,139,28,20.14
35.81,137,22,16.06
35.82,147,19,12.93
35.83,103,14,13.59
35.84,168,25,14.88
35.85,118,21,17.8
35.86,132,20,15.15
35.87,115,23,20.0
35.88,148,21,14.19
35.89,130,21,16.15
35.9,123,20,16.26
35.91,153,23,15.03
35.92,130,22,16.92
35.93,125,21,16.8
35.94,134,24,17.91
35.95,124,21,16.94
35.96,139,27,19.42
35.97,144,23,15.97
35.98,144,21,14.58
35.99,83,8,9.64
36.0,210,29,13.81
36.01,141,20,14.18
36.02,98,23,23.47
36.03,137,19,13.87
36.04,137,19,13.87
36.05,147,20,13.61
36.06,132,22,16.67
36.07,122,15,12.3
36.08,140,19,13.57
36.09,101,12,11.88
36.1,143,24,16.78
36.11,131,19,14.5
36.12,140,26,18.57
36.13,158,21,13.29
36.14,99,20,20.2
36.15,130,24,18.46
36.16,133,17,12.78
36.17,118,14,11.86
36.18,147,24,16.33
36.19,118,20,16.95
36.2,140,22,15.71
36.21,123,20,16.26
36.22,119,15,12.61
36.23,102,17,16.67
36.24,152,15,9.87
36.25,128,15,11.72
36.26,102,19,18.63
36.27,130,25,19.23
36.28,121,25,20.66
36.29,149,25,16.78
36.3,137,19,13.87
36.31,104,14,13.46
36.32,124,27,21.77
36.33,137,15,10.95
36.34,124,23,18.55
36.35,107,19,17.76
36.36,128,12,9.38
36.37,119,15,12.61
36.38,118,15,12.71
36.39,137,19,13.87
36.4,148,24,16.22
36.41,93,16,17.2
36.42,120,27,22.5
36.43,132,21,15.91
36.44,134,14,10.45
36.45,139,18,12.95
36.46,117,19,16.24
36.47,91,10,10.99
36.48,154,24,15.58
36.49,132,25,18.94
36.5,125,14,11.2
36.51,144,20,13.89
36.52,115,17,14.78
36.53,139,30,21.58
36.54,80,17,21.25
36.55,96,15,15.63
36.56,127,19,14.96
36.57,110,14,12.73
36.58,122,15,12.3
36.59,110,24,21.82
36.6,136,17,12.5
36.61,132,15,11.36
36.62,107,18,16.82
36.63,134,19,14.18
36.64,150,25,16.67
36.65,122,19,15.57
36.66,129,23,17.83
36.67,117,18,15.38
36.68,128,25,19.53
36.69,137,27,19.71
36.7,121,16,13.22
36.71,93,15,16.13
36.72,149,26,17.45
36.73,109,15,13.76
36.74,126,12,9.52
36.75,113,15,13.27
36.76,119,19,15.97
36.77,133,26,19.55
36.78,111,19,17.12
36.79,82,11,13.41
36.8,163,28,17.18
36.81,108,16,14.81
36.82,114,22,19.3
36.83,121,24,19.83
36.84,107,12,11.21
36.85,119,20,16.81
36.86,111,22,19.82
36.87,113,13,11.5
36.88,120,14,11.67
36.89,112,18,16.07
36.9,121,16,13.22
36.91,112,21,18.75
36.92,108,21,19.44
36.93,151,23,15.23
36.94,95,13,13.68
36.95,101,23,22.77
36.96,156,17,10.9
36.97,117,20,17.09
36.98,127,25,19.69
36.99,115,20,17.39
37.0,117,18,15.38
37.01,98,14,14.29
37.02,123,18,14.63
37.03,133,26,19.55
37.04,126,15,11.9
37.05,125,29,23.2
37.06,109,21,19.27
37.07,110,16,14.55
37.08,127,17,13.39
37.09,121,15,12.4
37.1,101,18,17.82
37.11,124,11,8.87
37.12,113,18,15.93
37.13,125,14,11.2
37.14,120,18,15.0
37.15,109,16,14.68
37.16,131,18,13.74
37.17,131,22,16.79
37.18,112,21,18.75
37.19,79,14,17.72
37.2,173,30,17.34
37.21,112,23,20.54
37.22,105,23,21.9
37.23,114,16,14.04
37.24,98,13,13.27
37.25,141,18,12.77
37.26,109,19,17.43
37.27,108,13,12.04
37.28,128,20,15.63
37.29,105,20,19.05
37.3,126,22,17.46
37.31,102,22,21.57
37.32,134,24,17.91
37.33,130,17,13.08
37.34,94,13,13.83
37.35,116,11,9.48
37.36,119,21,17.65
37.37,133,26,19.55
37.38,132,28,21.21
37.39,118,21,17.8
37.4,124,15,12.1
37.41,112,18,16.07
37.42,107,15,14.02
37.43,116,14,12.07
37.44,144,19,13.19
37.45,102,20,19.61
37.46,125,21,16.8
37.47,114,15,13.16
37.48,117,19,16.24
37.49,107,15,14.02
37.5,111,16,14.41
37.51,99,15,15.15
37.52,118,17,14.41
37.53,112,7,6.25
37.54,95,7,7.37
37.55,110,19,17.27
37.56,117,17,14.53
37.57,115,19,16.52
37.58,100,15,15.0
37.59,124,18,14.52
37.6,129,18,13.95
37.61,78,9,11.54
37.62,121,15,12.4
37.63,116,16,13.79
37.64,120,12,10.0
37.65,110,18,16.36
37.66,95,11,11.58
37.67,88,9,10.23
37.68,118,15,12.71
37.69,116,12,10.34
37.7,101,14,13.86
37.71,105,18,17.14
37.72,123,18,14.63
37.73,123,23,18.7
37.74,83,13,15.66
37.75,96,19,19.79
37.76,150,25,16.67
37.77,107,12,11.21
37.78,105,11,10.48
37.79,116,20,17.24
37.8,125,25,20.0
37.81,94,21,22.34
37.82,79,16,20.25
37.83,120,15,12.5
37.84,119,13,10.92
37.85,113,22,19.47
37.86,125,17,13.6
37.87,101,12,11.88
37.88,116,15,12.93
37.89,110,20,18.18
37.9,124,27,21.77
37.91,100,11,11.0
37.92,127,24,18.9
37.93,101,14,13.86
37.94,108,19,17.59
37.95,112,15,13.39
37.96,112,22,19.64
37.97,117,21,17.95
37.98,92,14,15.22
37.99,74,14,18.92
38.0,175,25,14.29
38.01,113,16,14.16
38.02,84,16,19.05
38.03,119,23,19.33
38.04,118,19,16.1
38.05,95,11,11.58
38.06,107,14,13.08
38.07,104,24,23.08
38.08,124,20,16.13
38.09,87,12,13.79
38.1,105,17,16.19
38.11,116,19,16.38
38.12,130,20,15.38
38.13,149,30,20.13
38.14,92,14,15.22
38.15,99,16,16.16
38.16,141,19,13.48
38.17,112,16,14.29
38.18,119,20,16.81
38.19,104,8,7.69
38.2,107,17,15.89
38.21,99,16,16.16
38.22,98,12,12.24
38.23,102,14,13.73
38.24,123,19,15.45
38.25,87,14,16.09
38.26,109,16,14.68
38.27,96,13,13.54
38.28,103,14,13.59
38.29,102,15,14.71
38.3,108,22,20.37
38.31,114,10,8.77
38.32,84,12,14.29
38.33,110,18,16.36
38.34,99,12,12.12
38.35,87,13,14.94
38.36,110,13,11.82
38.37,120,23,19.17
38.38,99,16,16.16
38.39,52,9,17.31
38.4,176,26,14.77
38.41,100,14,14.0
38.42,74,9,12.16
38.43,102,16,15.69
38.44,102,16,15.69
38.45,104,22,21.15
38.46,106,16,15.09
38.47,74,10,13.51
38.48,116,19,16.38
38.49,88,12,13.64
38.5,119,22,18.49
38.51,97,14,14.43
38.52,94,12,12.77
38.53,100,22,22.0
38.54,88,21,23.86
38.55,113,22,19.47
38.56,105,17,16.19
38.57,112,17,15.18
38.58,78,13,16.67
38.59,78,8,10.26
38.6,119,19,15.97
38.61,99,15,15.15
38.62,87,14,16.09
38.63,108,13,12.04
38.64,100,14,14.0
38.65,116,20,17.24
38.66,81,11,13.58
38.67,100,12,12.0
38.68,87,12,13.79
38.69,95,12,12.63
38.7,97,15,15.46
38.71,87,20,22.99
38.72,113,17,15.04
38.73,103,20,19.42
38.74,87,16,18.39
38.75,92,13,14.13
38.76,94,11,11.7
38.77,101,12,11.88
38.78,93,18,19.35
38.79,117,20,17.09
38.8,104,17,16.35
38.81,64,9,14.06
38.82,89,6,6.74
38.83,102,16,15.69
38.84,113,14,12.39
